Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
汉仪海纹体简 (Regular),汉仪海纹体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),29,7597,7597
汉仪海韵体简 (Regular),汉仪海韵体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪寒石粗体繁 (Regular),汉仪寒石粗体繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪寒石粗体简 (Regular),汉仪寒石粗体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪寒石体繁 (Regular),汉仪寒石体繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪寒石体简 (Regular),汉仪寒石体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪行楷繁 (Regular),汉仪行楷繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,8205,8249
汉仪行楷简 (Regular),汉仪行楷简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪合龙行书W (Regular),汉仪合龙行书W,Regular,,,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),23,9924,9899
汉仪黑荔枝体简 (Regular),汉仪黑荔枝体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪黑咪体繁 (Regular),汉仪黑咪体繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪黑咪体简 (Regular),汉仪黑咪体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪黑棋体简 (Regular),汉仪黑棋体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪黑仔体W (Regular),汉仪黑仔体W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),16,9665,9666
汉仪黑仔体繁 (Regular),汉仪黑仔体繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),16,7259,7260
汉仪黑仔体简 (Regular),汉仪黑仔体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),16,7259,7260
汉仪琥珀体繁 (Regular),汉仪琥珀体繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪琥珀体简 (Regular),汉仪琥珀体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪花蝶体简 (Regular),汉仪花蝶体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪花农体简 (Regular),汉仪花农体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
