Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
汉仪黑棋体简 (Regular),汉仪黑棋体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪黑仔体W (Regular),汉仪黑仔体W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),16,9665,9761
汉仪琥珀体简 (Regular),汉仪琥珀体简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪花蝶体简 (Regular),汉仪花蝶体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪火柴体简 (Regular),汉仪火柴体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪家书简 (Regular),汉仪家书简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪楷体简 (Regular),汉仪楷体简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪乐喵体简 (Regular),汉仪乐喵体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,8006
汉仪立黑简 (Regular),汉仪立黑简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪凌波体简 (Regular),汉仪凌波体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪菱心体简 (Regular),汉仪菱心体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪萝卜体简 (Regular),汉仪萝卜体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪漫步体简 (Regular),汉仪漫步体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪咪咪体简 (Regular),汉仪咪咪体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪南宫体简 (Regular),汉仪南宫体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),27,7575,7576
汉仪霹雳体简 (Regular),汉仪霹雳体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪旗黑-25S (25S),汉仪旗黑-25S,25S,汉仪旗黑,25S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28969
汉仪旗黑-25简繁 (25简繁),汉仪旗黑-25简繁,25简繁,汉仪旗黑,25简繁,Version 5.00,HNYI,Regular,5 (Medium),100 (Thin),34,10025,10121
汉仪旗黑-30S (30S),汉仪旗黑-30S,30S,汉仪旗黑,30S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28969
汉仪旗黑-35S (35S),汉仪旗黑-35S,35S,汉仪旗黑,35S,Version 5.01,HNYI,Regular,5 (Medium),100 (Thin),37,28873,28969
汉仪旗黑-40S (40S),汉仪旗黑-40S,40S,汉仪旗黑,40S,Version 5.01,HNYI,Regular,5 (Medium),200 (Extra-light),37,28873,28969
